"","Name","xPos","yPos","Feature_Desc"
"1","Alki Beach Park",-122.402173,47.582912,"Paths (ADA Compliant), Restrooms (ADA Compliant)"
"2","Alki Playground",-122.4073123,47.57849726,"Play Area (ADA Compliant)"
"3","Atlantic Street Park",-122.30566,47.589165,"Paths (ADA Compliant), Play Area (ADA Compliant)"
"4","B.F. Day Playground",-122.3492215,47.65603015,"Play Area (ADA Compliant)"
"5","Baker Park on Crown Hill",-122.374794,47.690119,"Play Area (ADA Compliant)"
"6","Ballard Corners Park",-122.379116,47.674186,"Play Area (ADA Compliant)"
"7","Ballard Playground",-122.3915498,47.67278587,"Play Area (ADA Compliant)"
"8","Bayview Playground",-122.3867861,47.6438017,"Play Area (ADA Compliant)"
"9","Beacon Hill Playground",-122.3153246,47.58622631,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"10","Beer Sheva Park",-122.263223,47.524191,"Play Area (ADA Compliant)"
"11","Bellevue Place",-122.327658,47.626904,"Paths (ADA Compliant)"
"12","Benefit Playground",-122.2842942,47.51899824,"Play Area (ADA Compliant)"
"13","Bhy Kracke Park",-122.348403,47.630426,"Play Area (ADA Compliant)"
"14","Bitter Lake Playfield",-122.3493143,47.72420909,"Play Area (ADA Compliant)"
"15","Bitter Lake Reservoir Open Space",-122.348583,47.731181,"Play Area (ADA Compliant)"
"16","Bradner Gardens Park",-122.295426,47.587419,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"17","Brighton Playfield",-122.2820996,47.54838735,"Play Area (ADA Compliant)"
"18","Bryant Neighborhood Playground",-122.2836441,47.6752992,"Play Area (ADA Compliant)"
"19","Burke-Gilman Playground Park",-122.282623,47.66663386,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"20","Burke-Gilman Trail",-122.284567,47.681597,"Paths (ADA Compliant), Paths (ADA Compliant)"
"21","Cal Anderson Park and Bobby Morris Playfield",-122.319134,47.617013,"Paths (ADA Compliant), Play Area (ADA Compliant)"
"22","Camp Long",-122.373161,47.556242,"Paths (ADA Compliant), Restrooms (ADA Compliant)"
"23","Carkeek Park",-122.379763,47.712194,"Picnic Sites (ADA Compliant), Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"24","Cascade Playground",-122.3323548,47.62140522,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"25","Cedar Park",-122.288042,47.725808,"Paths (ADA Compliant), Play Area (ADA Compliant)"
"26","Coe Play Park",-122.365952,47.640108,"Play Area (ADA Compliant)"
"27","Colman Playground",-122.301957,47.58762538,"Play Area (ADA Compliant)"
"28","Commodore Park",-122.40014,47.66538,"Paths (ADA Compliant), Restrooms (ADA Compliant)"
"29","Cowen Park",-122.313072,47.672596,"Play Area (ADA Compliant)"
"30","Dahl Playfield",-122.299309,47.685267,"Play Area (ADA Compliant)"
"31","David Rodgers Park",-122.359484,47.644135,"Play Area (ADA Compliant)"
"32","Dearborn Park",-122.296225,47.553389,"Paths (ADA Compliant), Play Area (ADA Compliant)"
"33","Delridge Playfield",-122.3643707,47.56284245,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"34","Denny Park",-122.341049,47.61913,"Paths (ADA Compliant), Play Area (ADA Compliant)"
"35","Discovery Park",-122.415282,47.66083,"Paths (ADA Compliant), Play Area (ADA Compliant), Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"36","Dr. Blanche Lavizzo Park",-122.304179,47.600278,"Paths (ADA Compliant), Play Area (ADA Compliant)"
"37","Dr. Jose Rizal Park",-122.318094,47.593859,"Play Area (ADA Compliant), Play Area (ADA Compliant)"
"38","E.C. Hughes Playground",-122.3695452,47.53280491,"Play Area (ADA Compliant), Play Area (ADA Compliant)"
"39","East Queen Anne Playground",-122.3537858,47.636139,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"40","Ella Bailey Park",-122.3910597,47.64058448,"Play Area (ADA Compliant)"
"41","Fairmount Playfield",-122.3805489,47.55404081,"Play Area (ADA Compliant)"
"42","Firehouse Mini Park",-122.308558,47.608448,"Play Area (ADA Compliant)"
"43","Flo Ware Park",-122.295868,47.599557,"Play Area (ADA Compliant)"
"44","Freeway Park - Jim Ellis Freeway Park",-122.330904,47.609472,"Paths (ADA Compliant)"
"45","Froula Playground",-122.3139784,47.68053832,"Play Area (ADA Compliant)"
"46","Garfield Playfield",-122.3014119,47.6070978,"Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"47","Gas Works Park",-122.334906,47.645639,"Paths (ADA Compliant), Restrooms (ADA Compliant)"
"48","Genesee Park and Playfield",-122.278744,47.564856,"Paths (ADA Compliant), Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"49","Georgetown Playfield",-122.3213956,47.55161973,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"50","Gilman Playground",-122.369684,47.66729167,"Play Area (ADA Compliant)"
"51","Golden Gardens Park",-122.403454,47.686852,"Paths (ADA Compliant), Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"52","Green Lake Park",-122.330394,47.678938,"Paths (ADA Compliant), Play Area (ADA Compliant), Restrooms (ADA Compliant)"
"53","Greenwood Park",-122.350647,47.693048,"Play Area (ADA Compliant)"
"54","Greg Davis Park",-122.366001,47.55437,"Paths (ADA Compliant)"
"55","Hiawatha Playfield",-122.3849647,47.57827243,"Play Area (ADA Compliant), Restrooms (ADA Compliant), Paths (ADA Compliant)"
"56","Highland Park Playground",-122.349034,47.52737972,"Play Area (ADA Compliant)"
"57","Hing Hay Park",-122.325435,47.598609,"Restrooms (ADA Compliant)"
"58","Homer Harris Park",-122.300994,47.617309,"Play Area (ADA Compliant)"
"59","Hutchinson Playground",-122.2600621,47.51431208,"Restrooms (ADA Compliant), Play Area (ADA Compliant)"
"60","Interbay Athletic Complex",-122.3791913,47.64723939,"Restrooms (ADA Compliant)"
"61","International Children's Park",-122.323412,47.596897,"Play Area (ADA Compliant)"
"62","Jefferson Park",-122.311441,47.568067,"Play Area (ADA Compliant)"
"63","John C. Little, Sr. Park",-122.286686,47.539048,"Play Area (ADA Compliant)"
"64","Judkins Park and Playfield",-122.303951,47.592425,"Paths (ADA Compliant), Play Area (ADA Compliant)"
